팀1이름,팀2이름,팀1점수,팀2점수
KIA,두산,4,5
삼성,두산,2,7
SK,롯데,3,6
LG,한화,2,1
KIA,넥센,4,1
삼성,롯데,6,1
SK,한화,6,1
LG,넥센,1,3
KIA,두산,7,3
삼성,한화,9,4
SK,LG,1,4
두산,넥센,4,7
롯데,KIA,11,7
삼성,롯데,0,1
SK,한화,2,1
LG,넥센,3,7
KIA,두산,6,4
넥센,KIA,3,4
삼성,SK,1,2
두산,한화,10,5
롯데,LG,5,6
삼성,한화,8,4
넥센,KIA,0,2
삼성,SK,8,5
두산,한화,3,1
롯데,LG,6,5
넥센,LG,7,3
두산,SK,2,1
롯데,삼성,6,2
한화,KIA,16,8
넥센,KIA,0,5
삼성,SK,3,4
두산,한화,8,6
롯데,LG,6,1
SK,두산,7,2
LG,삼성,5,0
한화,넥센,4,2
넥센,LG,9,7
두산,SK,4,2
롯데,삼성,3,6
한화,KIA,8,0
SK,두산,2,5
롯데,KIA,3,1
LG,삼성,1,7
한화,넥센,0,4
넥센,한화,11,4
삼성,SK,4,7
LG,롯데,20,8
KIA,두산,0,2
롯데,KIA,4,2
LG,삼성,6,7
넥센,한화,7,5
삼성,SK,5,8
LG,롯데,3,5
KIA,두산,9,8
SK,롯데,2,5
한화,삼성,3,6
넥센,한화,3,6
삼성,SK,9,4
LG,롯데,0,5
KIA,두산,3,4
SK,롯데,3,2
한화,삼성,2,1
롯데,넥센,11,1
한화,LG,2,4
SK,롯데,6,5
두산,넥센,1,7
KIA,LG,3,10
두산,삼성,5,3
롯데,넥센,4,6
한화,LG,2,6
넥센,롯데,2,0
삼성,두산,2,0
LG,한화,3,2
KIA,SK,2,7
SK,KIA,6,6
두산,삼성,0,10
롯데,넥센,4,2
한화,LG,4,1
넥센,롯데,4,5
삼성,두산,3,1
LG,한화,5,0
KIA,SK,1,2
넥센,KIA,3,3
두산,LG,6,3
롯데,SK,3,5
한화,삼성,7,1
넥센,롯데,1,4
삼성,두산,11,3
LG,한화,4,5
KIA,SK,0,3
롯데,SK,3,1
넥센,KIA,2,3
두산,LG,3,5
한화,삼성,0,5
롯데,삼성,5,3
LG,KIA,8,2
넥센,KIA,8,10
두산,LG,3,5
롯데,SK,3,5
한화,삼성,7,3
넥센,두산,3,1
LG,KIA,4,5
한화,SK,5,6
삼성,롯데,2,1
SK,두산,2,1
LG,넥센,8,2
KIA,한화,2,3
넥센,두산,2,3
LG,KIA,2,3
한화,SK,2,5
삼성,롯데,3,0
SK,두산,9,5
LG,넥센,6,11
KIA,한화,8,1
삼성,LG,6,3
SK,넥센,1,2
두산,롯데,1,0
삼성,롯데,2,2
SK,두산,8,9
LG,넥센,1,2
KIA,한화,4,1
삼성,LG,6,5
SK,넥센,8,6
두산,롯데,1,2
KIA,한화,16,4
넥센,SK,7,4
삼성,LG,8,4
두산,KIA,0,1
롯데,한화,9,15
삼성,LG,11,2
SK,넥센,1,3
두산,롯데,2,3
KIA,한화,6,0
넥센,SK,2,3
삼성,LG,1,2
두산,KIA,8,7
롯데,한화,6,4
넥센,SK,1,2
삼성,LG,3,2
두산,KIA,5,2
롯데,한화,1,7
넥센,한화,6,7
삼성,KIA,4,0
롯데,SK,10,1
LG,두산,3,0
넥센,롯데,9,2
LG,SK,6,4
KIA,삼성,3,8
한화,두산,8,11
넥센,롯데,8,0
LG,SK,5,9
KIA,삼성,7,5
한화,두산,6,4
넥센,삼성,5,3
LG,롯데,0,0
한화,KIA,3,0
LG,SK,1,0
넥센,롯데,9,1
KIA,삼성,4,8
한화,두산,5,1
넥센,삼성,5,10
두산,SK,4,4
LG,롯데,7,3
한화,KIA,3,2
삼성,넥센,6,7
SK,한화,9,3
LG,두산,3,2
KIA,롯데,4,5
넥센,삼성,3,5
두산,SK,6,4
LG,롯데,2,7
KIA,한화,13,2
삼성,넥센,3,10
SK,한화,10,4
LG,두산,4,0
KIA,롯데,1,6
LG,삼성,6,3
KIA,롯데,2,4
삼성,넥센,3,5
SK,한화,13,10
LG,두산,7,5
KIA,롯데,4,6
SK,KIA,6,3
두산,한화,5,6
LG,삼성,0,1
넥센,LG,2,1
두산,SK,4,2
롯데,삼성,1,5
한화,KIA,3,4
넥센,두산,0,4
SK,KIA,0,2
롯데,한화,0,2
넥센,LG,10,7
두산,SK,5,2
롯데,삼성,4,3
한화,KIA,1,4
넥센,두산,3,2
SK,KIA,3,11
한화,롯데,2,5
롯데,삼성,2,7
넥센,LG,3,5
두산,SK,11,2
한화,KIA,3,12
넥센,SK,6,11
두산,삼성,6,2
KIA,LG,4,5
한화,롯데,0,3
SK,삼성,1,7
롯데,두산,8,4
LG,KIA,2,5
한화,넥센,5,4
넥센,SK,1,4
KIA,LG,3,4
SK,삼성,4,3
롯데,두산,6,1
LG,KIA,5,6
한화,넥센,3,1
넥센,삼성,4,9
KIA,LG,1,7
한화,롯데,1,7
SK,삼성,4,2
롯데,두산,7,1
LG,KIA,3,7
한화,넥센,4,3
삼성,한화,2,11
두산,롯데,4,0
삼성,한화,10,2
SK,넥센,2,3
LG,롯데,5,3
KIA,두산,1,4
삼성,한화,2,3
SK,LG,3,0
두산,넥센,3,0
롯데,KIA,3,1
삼성,한화,3,0
SK,넥센,7,3
LG,롯데,2,3
KIA,두산,2,4
두산,넥센,2,4
삼성,한화,3,2
SK,넥센,5,9
LG,롯데,3,1
KIA,두산,4,2
롯데,KIA,1,10
롯데,KIA,8,8
한화,넥센,8,7
넥센,롯데,3,7
두산,삼성,2,1
KIA,SK,0,1
한화,LG,9,2
롯데,삼성,2,3
LG,두산,2,0
KIA,SK,5,12
한화,넥센,1,3
넥센,롯데,0,8
두산,삼성,8,12
KIA,SK,0,1
한화,LG,5,8
LG,두산,5,6
KIA,SK,3,2
한화,넥센,8,2
넥센,롯데,4,3
두산,삼성,4,0
KIA,SK,11,2
한화,LG,7,7
삼성,KIA,6,2
SK,두산,7,3
롯데,한화,2,8
LG,넥센,2,0
넥센,LG,1,0
SK,롯데,3,1
두산,KIA,2,2
한화,삼성,2,3
SK,두산,1,2
롯데,한화,2,3
삼성,KIA,12,3
LG,넥센,3,5
넥센,LG,8,2
삼성,한화,6,8
SK,롯데,7,0
두산,KIA,6,0
삼성,KIA,4,5
SK,두산,2,1
롯데,한화,9,7
LG,넥센,4,3
삼성,KIA,5,0
롯데,넥센,1,3
한화,LG,3,1
삼성,SK,1,5
넥센,한화,4,5
삼성,KIA,9,2
롯데,LG,4,6
넥센,한화,4,3
삼성,SK,5,4
두산,LG,2,6
KIA,롯데,4,3
SK,두산,5,1
롯데,삼성,1,6
KIA,넥센,4,5
넥센,한화,1,8
삼성,SK,3,11
두산,LG,4,14
KIA,롯데,3,6
SK,두산,3,1
LG,롯데,1,3
KIA,넥센,7,0
SK,LG,8,5
두산,롯데,3,4
KIA,넥센,0,13
한화,삼성,3,9
롯데,삼성,1,2
LG,SK,5,3
한화,두산,1,2
SK,LG,6,10
두산,롯데,7,1
KIA,넥센,5,6
한화,삼성,1,7
LG,SK,4,7
KIA,삼성,5,1
한화,두산,3,1
SK,LG,2,0
두산,롯데,8,7
KIA,넥센,9,6
한화,삼성,1,12
SK,넥센,7,2
KIA,삼성,3,0
한화,두산,0,5
삼성,두산,1,4
롯데,넥센,2,2
LG,KIA,3,3
한화,SK,2,4
넥센,LG,0,3
삼성,롯데,6,2
한화,SK,1,4
삼성,두산,8,6
롯데,넥센,5,4
LG,KIA,5,1
한화,SK,1,3
넥센,LG,11,1
SK,KIA,1,6
두산,한화,13,3
롯데,삼성,3,6
삼성,두산,2,8
롯데,넥센,3,4
LG,KIA,0,6
한화,SK,5,2
넥센,한화,4,1
SK,KIA,8,1
두산,LG,3,9
넥센,두산,3,4
롯데,SK,5,1
LG,한화,1,3
KIA,삼성,1,7
삼성,넥센,9,5
두산,LG,6,5
롯데,KIA,0,1
넥센,두산,3,2
롯데,SK,1,3
LG,한화,1,4
KIA,삼성,0,0
삼성,LG,9,3
SK,한화,4,1
두산,넥센,0,5
롯데,KIA,0,10
넥센,두산,0,3
롯데,SK,7,2
LG,한화,11,2
KIA,삼성,2,7
삼성,LG,2,0
SK,한화,4,5
두산,넥센,3,1
롯데,KIA,10,2
삼성,넥센,1,0
SK,KIA,6,4
두산,한화,4,5
롯데,LG,6,5
SK,LG,2,3
두산,삼성,1,3
KIA,한화,5,4
삼성,넥센,8,5
SK,KIA,7,9
두산,한화,0,6
롯데,LG,6,4
넥센,한화,1,1
SK,삼성,2,4
삼성,넥센,5,6
SK,KIA,1,2
두산,한화,8,7
롯데,LG,7,1
넥센,두산,2,4
삼성,KIA,0,5
롯데,SK,8,3
SK,삼성,4,8
두산,넥센,3,13
KIA,LG,10,4
한화,롯데,0,3
삼성,KIA,4,3
롯데,SK,1,6
LG,두산,1,0
SK,삼성,6,1
두산,넥센,1,4
KIA,LG,6,4
한화,롯데,2,9
롯데,두산,8,5
SK,삼성,0,6
두산,넥센,6,4
KIA,LG,13,8
한화,롯데,2,5
롯데,두산,2,1
넥센,삼성,1,5
롯데,두산,1,6
KIA,한화,11,2
두산,롯데,7,2
롯데,두산,1,5
LG,SK,8,1
두산,롯데,3,4
넥센,삼성,1,3
롯데,두산,2,7
LG,SK,5,2
KIA,한화,2,1
롯데,SK,1,2
삼성,LG,9,4
SK,롯데,4,6
두산,KIA,5,4
한화,넥센,2,4
롯데,SK,5,4
삼성,LG,4,1
SK,롯데,3,5
두산,KIA,0,1
한화,넥센,5,10
SK,롯데,1,4
삼성,롯데,0,7
SK,한화,2,4
두산,LG,3,2
KIA,넥센,2,9
SK,롯데,2,1
삼성,롯데,7,2
SK,한화,0,5
두산,LG,9,3
KIA,넥센,2,1
롯데,SK,3,6
LG,삼성,2,3
한화,두산,3,4
SK,삼성,1,3
넥센,SK,7,2
한화,두산,8,4
SK,삼성,3,8
넥센,SK,2,10
롯데,KIA,1,5
LG,삼성,5,6
한화,두산,2,9
삼성,SK,8,12
넥센,LG,10,2
두산,SK,0,3
한화,롯데,1,1
삼성,SK,1,4
두산,SK,7,8
SK,삼성,1,2
KIA,삼성,8,11
삼성,SK,7,0
SK,LG,1,3
두산,KIA,4,2
롯데,넥센,3,6
삼성,한화,11,1
SK,LG,2,6
두산,KIA,4,7
롯데,넥센,5,0
삼성,한화,6,5
SK,LG,8,2
두산,KIA,0,6
롯데,넥센,3,5
웨스턴,이스턴,2,5
넥센,NC,6,1
SK,롯데,1,2
LG,삼성,4,4
한화,KIA,3,13
넥센,KIA,5,1
SK,삼성,7,6
롯데,한화,3,4
LG,두산,11,13
넥센,NC,4,7
SK,롯데,6,3
LG,삼성,9,6
한화,KIA,1,4
넥센,KIA,1,3
SK,삼성,6,9
롯데,한화,1,10
LG,두산,3,7
넥센,롯데,4,2
SK,KIA,1,6
두산,삼성,3,1
LG,NC,2,4
넥센,KIA,1,9
SK,삼성,1,8
롯데,한화,9,2
LG,두산,3,1
LG,NC,4,0
삼성,넥센,5,4
롯데,두산,1,2
LG,SK,6,1
한화,KIA,4,1
삼성,롯데,5,3
NC,두산,0,1
LG,SK,3,4
한화,넥센,3,2
삼성,넥센,6,1
롯데,두산,0,2
LG,SK,0,1
한화,KIA,3,1
삼성,롯데,0,0
NC,두산,5,8
LG,SK,3,2
한화,넥센,4,6
삼성,넥센,4,3
롯데,두산,4,2
LG,SK,5,5
한화,KIA,7,1
넥센,삼성,2,7
두산,KIA,2,3
한화,SK,1,8
넥센,SK,7,5
두산,삼성,2,1
KIA,롯데,4,5
한화,LG,3,5
넥센,삼성,2,2
두산,KIA,7,2
한화,SK,0,2
넥센,SK,4,11
두산,삼성,9,1
KIA,롯데,13,4
한화,LG,5,2
SK,넥센,8,9
두산,한화,2,2
LG,롯데,2,0
KIA,NC,7,5
넥센,SK,4,8
두산,삼성,3,0
KIA,롯데,4,3
한화,LG,5,0
SK,넥센,7,1
두산,한화,10,4
LG,롯데,2,9
KIA,NC,2,4
삼성,롯데,3,4
SK,한화,8,9
LG,넥센,8,2
KIA,두산,4,5
삼성,한화,3,6
두산,넥센,1,7
롯데,NC,3,6
KIA,LG,16,3
삼성,롯데,6,1
SK,한화,6,1
LG,넥센,1,3
KIA,두산,7,3
삼성,한화,3,8
두산,넥센,0,3
롯데,NC,1,2
KIA,LG,6,1
삼성,롯데,0,1
SK,한화,2,1
LG,넥센,3,7
KIA,두산,6,4
두산,LG,3,2
NC,SK,4,4
롯데,한화,1,2
KIA,삼성,6,2
넥센,KIA,3,4
삼성,SK,1,2
두산,한화,10,5
롯데,LG,5,6
두산,LG,2,3
NC,SK,2,4
롯데,한화,7,0
KIA,삼성,4,3
넥센,KIA,0,2
삼성,SK,8,5
두산,한화,3,1
롯데,LG,6,5
넥센,KIA,9,10
두산,삼성,9,4
LG,SK,7,4
한화,롯데,5,6
넥센,KIA,0,5
삼성,SK,3,4
두산,한화,8,6
롯데,LG,6,1
넥센,KIA,6,4
두산,삼성,7,3
LG,SK,4,1
한화,롯데,5,6
SK,두산,7,2
LG,삼성,5,0
한화,넥센,4,2
SK,두산,3,7
롯데,NC,4,0
LG,넥센,1,3
KIA,한화,9,5
SK,두산,2,5
롯데,KIA,3,1
LG,삼성,1,7
한화,넥센,0,4
SK,두산,4,1
롯데,NC,3,2
LG,넥센,14,8
KIA,한화,12,1
롯데,KIA,4,2
LG,삼성,6,7
SK,두산,7,5
롯데,NC,5,1
LG,넥센,3,4
KIA,한화,12,4
SK,롯데,2,5
한화,삼성,3,6
넥센,한화,3,2
두산,LG,4,6
NC,삼성,4,10
KIA,롯데,9,3
SK,롯데,3,2
한화,삼성,2,1
SK,롯데,6,5
두산,넥센,1,7
KIA,LG,3,10
넥센,롯데,2,0
삼성,두산,2,0
LG,한화,3,2
KIA,SK,2,7
넥센,한화,5,3
두산,LG,5,4
NC,삼성,2,4
KIA,롯데,3,1
넥센,롯데,4,5
삼성,두산,3,1
LG,한화,5,0
KIA,SK,1,2
넥센,SK,0,2
두산,KIA,11,4
NC,LG,5,9
한화,삼성,2,8
넥센,롯데,1,4
삼성,두산,11,3
LG,한화,4,5
KIA,SK,0,3
넥센,SK,0,9
두산,KIA,3,4
NC,LG,5,7
한화,삼성,0,4
롯데,삼성,5,3
LG,KIA,8,2
넥센,SK,4,3
두산,KIA,9,0
NC,LG,4,1
한화,삼성,3,9
넥센,두산,3,1
LG,KIA,4,5
한화,SK,5,6
삼성,넥센,0,3
SK,NC,5,3
롯데,두산,3,3
LG,한화,6,1
넥센,두산,2,3
LG,KIA,2,3
한화,SK,2,5
삼성,넥센,15,4
SK,NC,1,4
롯데,두산,2,7
LG,한화,5,1
삼성,LG,6,3
SK,넥센,1,2
두산,롯데,1,0
삼성,넥센,15,4
SK,NC,3,4
롯데,두산,6,7
LG,한화,8,0
삼성,LG,6,5
SK,넥센,8,6
두산,롯데,1,2
KIA,한화,16,4
넥센,롯데,7,4
SK,삼성,8,3
NC,한화,4,6
LG,KIA,2,5
삼성,LG,11,2
SK,넥센,1,3
두산,롯데,2,3
KIA,한화,6,0
넥센,롯데,4,2
SK,삼성,5,11
NC,한화,3,4
LG,KIA,4,9
SK,삼성,6,1
넥센,롯데,14,4
NC,한화,5,8
LG,KIA,13,12
넥센,한화,6,7
삼성,KIA,4,0
롯데,SK,10,1
LG,두산,3,0
NC,넥센,0,1
롯데,삼성,4,3
KIA,SK,4,3
한화,두산,1,15
넥센,삼성,5,3
LG,롯데,0,0
한화,KIA,3,0
NC,넥센,2,11
롯데,삼성,8,9
KIA,SK,9,0
한화,두산,1,0
넥센,삼성,5,10
두산,SK,4,4
LG,롯데,7,3
한화,KIA,3,2
넥센,삼성,3,5
두산,SK,6,4
LG,롯데,2,7
KIA,한화,13,2
삼성,LG,3,2
SK,롯데,7,8
두산,넥센,1,9
KIA,NC,5,5
LG,삼성,6,3
KIA,롯데,2,4
삼성,LG,2,1
SK,롯데,0,6
두산,넥센,6,3
KIA,NC,11,4
SK,KIA,6,3
두산,한화,5,6
LG,삼성,0,1
삼성,KIA,6,0
두산,NC,8,4
롯데,LG,4,5
한화,SK,1,6
넥센,두산,0,4
SK,KIA,0,2
롯데,한화,0,2
삼성,KIA,1,5
두산,NC,8,5
롯데,LG,2,1
한화,SK,1,4
넥센,두산,3,2
SK,KIA,3,11
한화,롯데,2,5
삼성,KIA,4,1
두산,NC,3,1
롯데,LG,0,4
한화,SK,5,5
넥센,SK,6,11
두산,삼성,6,2
KIA,LG,4,5
한화,롯데,0,3
넥센,삼성,3,1
롯데,한화,3,9
LG,NC,1,2
KIA,두산,5,3
넥센,SK,1,4
KIA,LG,3,4
넥센,삼성,8,5
롯데,한화,4,3
LG,NC,6,7
KIA,두산,8,1
넥센,삼성,4,9
KIA,LG,1,7
한화,롯데,1,7
넥센,삼성,4,3
롯데,한화,4,3
LG,NC,1,8
KIA,두산,4,6
삼성,한화,2,11
두산,롯데,4,0
삼성,롯데,10,3
SK,한화,1,5
LG,두산,6,3
KIA,넥센,0,1
삼성,한화,2,3
SK,LG,3,0
두산,넥센,3,0
롯데,KIA,3,1
삼성,롯데,5,3
SK,한화,4,0
LG,두산,2,6
KIA,넥센,8,4
두산,넥센,2,4
삼성,롯데,6,1
SK,한화,8,5
LG,두산,2,5
KIA,넥센,13,9
롯데,KIA,1,10
롯데,KIA,8,8
한화,넥센,8,7
넥센,LG,6,4
두산,SK,3,8
롯데,KIA,3,0
한화,NC,8,4
롯데,삼성,2,3
LG,두산,2,0
KIA,SK,5,12
한화,넥센,1,3
넥센,LG,3,1
두산,SK,12,13
롯데,KIA,5,1
한화,NC,6,4
LG,두산,5,6
KIA,SK,3,2
한화,넥센,8,2
두산,SK,11,2
한화,NC,3,7
SK,넥센,6,4
NC,두산,3,4
LG,롯데,4,2
KIA,삼성,0,3
넥센,LG,1,0
SK,롯데,3,1
두산,KIA,2,2
한화,삼성,2,3
SK,넥센,2,5
NC,두산,5,6
LG,롯데,3,4
KIA,삼성,1,9
넥센,LG,8,2
삼성,한화,6,8
SK,롯데,7,0
두산,KIA,6,0
SK,넥센,5,8
NC,두산,17,5
LG,롯데,3,8
KIA,삼성,4,5
삼성,KIA,5,0
롯데,넥센,1,3
한화,LG,3,1
삼성,두산,7,3
SK,KIA,1,3
NC,롯데,2,2
한화,넥센,7,2
넥센,한화,4,5
삼성,KIA,9,2
롯데,LG,4,6
삼성,두산,8,3
SK,KIA,4,3
NC,롯데,6,4
한화,넥센,1,19
SK,두산,5,1
롯데,삼성,1,6
KIA,넥센,4,5
삼성,두산,0,7
SK,KIA,9,2
NC,롯데,8,5
한화,넥센,5,6
SK,두산,3,1
LG,롯데,1,3
KIA,넥센,7,0
두산,한화,4,5
롯데,SK,3,4
삼성,NC,2,1
KIA,LG,3,2
롯데,삼성,1,2
LG,SK,5,3
한화,두산,1,2
삼성,NC,7,3
두산,한화,2,14
롯데,SK,6,5
KIA,LG,3,1
LG,SK,4,7
KIA,삼성,5,1
한화,두산,3,1
삼성,NC,7,4
두산,한화,15,8
롯데,SK,11,5
KIA,LG,4,7
SK,넥센,7,2
KIA,삼성,3,0
한화,두산,0,5
넥센,두산,15,7
NC,SK,2,6
LG,삼성,4,8
한화,KIA,2,8
넥센,LG,0,3
삼성,롯데,6,2
한화,SK,1,4
넥센,두산,8,4
NC,SK,4,3
LG,삼성,9,1
한화,KIA,3,1
넥센,LG,11,1
SK,KIA,1,6
두산,한화,13,3
롯데,삼성,3,6
넥센,두산,1,2
NC,SK,6,2
LG,삼성,3,2
한화,KIA,2,10
넥센,한화,4,1
SK,KIA,8,1
두산,LG,3,9
삼성,한화,8,1
SK,LG,3,4
NC,KIA,10,5
롯데,넥센,2,1
삼성,넥센,9,5
두산,LG,6,5
롯데,KIA,0,1
삼성,한화,6,1
SK,LG,5,1
NC,KIA,9,2
롯데,넥센,3,4
삼성,LG,9,3
SK,한화,4,1
두산,넥센,0,5
롯데,KIA,0,10
삼성,한화,1,3
SK,LG,0,1
NC,KIA,4,7
롯데,넥센,1,7
삼성,LG,2,0
SK,한화,4,5
두산,넥센,3,1
롯데,KIA,10,2
두산,롯데,3,8
한화,LG,4,3
SK,LG,2,3
두산,삼성,1,3
KIA,한화,5,4
넥센,NC,6,4
두산,롯데,0,3
한화,LG,1,7
넥센,한화,1,1
SK,삼성,2,4
넥센,NC,1,7
삼성,SK,5,4
두산,롯데,6,8
한화,LG,3,5
넥센,두산,2,4
삼성,KIA,0,5
롯데,SK,8,3
넥센,두산,10,3
NC,한화,7,2
롯데,삼성,10,0
LG,KIA,11,2
삼성,KIA,4,3
롯데,SK,1,6
LG,두산,1,0
넥센,두산,4,8
NC,한화,8,3
롯데,삼성,2,1
LG,KIA,7,3
롯데,두산,8,5
넥센,두산,4,11
NC,한화,1,5
롯데,삼성,3,5
LG,KIA,5,4
롯데,두산,2,1
삼성,넥센,1,3
SK,NC,4,2
두산,LG,9,7
KIA,롯데,7,2
두산,롯데,7,2
삼성,넥센,3,3
SK,NC,5,11
두산,LG,3,5
KIA,롯데,3,6
두산,롯데,3,4
삼성,넥센,7,15
SK,NC,4,7
두산,LG,4,5
KIA,롯데,3,13
롯데,SK,1,2
두산,삼성,2,3
롯데,LG,4,7
KIA,넥센,2,8
한화,SK,3,12
롯데,SK,5,4
두산,삼성,1,2
롯데,LG,0,6
KIA,넥센,8,6
한화,SK,3,4
SK,롯데,1,4
두산,삼성,2,4
롯데,LG,8,2
KIA,넥센,6,4
한화,SK,8,4
SK,롯데,2,1
SK,두산,7,5
NC,KIA,2,7
LG,한화,11,3
롯데,SK,3,6
넥센,롯데,3,6
SK,두산,1,2
NC,KIA,1,2
SK,삼성,1,3
넥센,롯데,3,4
SK,두산,3,8
NC,KIA,7,8
LG,한화,6,1
SK,삼성,3,8
넥센,LG,3,4
삼성,NC,14,6
한화,롯데,5,9
삼성,SK,8,12
넥센,LG,0,9
삼성,NC,3,8
SK,KIA,3,8
한화,롯데,3,2
삼성,SK,1,4
넥센,LG,4,5
삼성,NC,7,7
SK,KIA,7,9
한화,롯데,3,4
SK,삼성,1,2
삼성,SK,7,0
삼성,SK,2,4
롯데,두산,13,6
LG,NC,4,1
KIA,한화,8,2
삼성,SK,5,2
롯데,두산,4,2
LG,NC,3,4
KIA,한화,6,3
NC,넥센,4,1
롯데,SK,4,5
LG,삼성,8,4
한화,두산,2,7
NC,넥센,1,2
롯데,SK,3,2
LG,삼성,2,7
한화,두산,7,8
NC,넥센,5,9
롯데,SK,5,8
LG,삼성,8,2
한화,두산,3,8
넥센,NC,6,1
SK,롯데,1,2
LG,삼성,4,4
한화,KIA,3,13
SK,넥센,3,2
넥센,NC,4,7
SK,롯데,6,3
LG,삼성,9,6
한화,KIA,1,4
삼성,한화,2,5
SK,넥센,4,7
두산,KIA,4,4
NC,롯데,2,3
넥센,롯데,4,2
SK,KIA,1,6
두산,삼성,3,1
LG,NC,2,4
SK,넥센,6,2
두산,KIA,5,4
NC,롯데,0,2
LG,NC,4,0
넥센,한화,7,8
SK,LG,2,1
두산,NC,6,5
KIA,삼성,5,6
삼성,롯데,5,3
NC,두산,0,1
LG,SK,3,4
한화,넥센,3,2
넥센,한화,6,5
SK,LG,0,4
두산,NC,2,1
KIA,삼성,2,4
삼성,롯데,0,0
NC,두산,5,8
LG,SK,3,2
한화,넥센,4,6
넥센,한화,6,0
SK,LG,3,4
두산,NC,5,9
KIA,삼성,3,10
넥센,삼성,2,7
두산,KIA,2,3
한화,SK,1,8
넥센,NC,0,2
삼성,롯데,6,4
KIA,SK,8,2
넥센,삼성,2,2
두산,KIA,7,2
한화,SK,0,2
넥센,NC,3,4
삼성,롯데,2,9
KIA,SK,3,4
한화,LG,8,9
SK,넥센,8,9
두산,한화,2,2
LG,롯데,2,0
KIA,NC,7,5
SK,넥센,7,1
두산,한화,10,4
LG,롯데,2,9
KIA,NC,2,4
삼성,두산,6,9
LG,넥센,10,12
삼성,한화,3,6
두산,넥센,1,7
롯데,NC,3,6
KIA,LG,16,3
삼성,두산,2,4
SK,한화,3,9
롯데,KIA,6,8
LG,넥센,3,6
삼성,한화,3,8
두산,넥센,0,3
롯데,NC,1,2
KIA,LG,6,1
삼성,두산,8,2
LG,넥센,2,11
두산,LG,3,2
NC,SK,4,4
롯데,한화,1,2
KIA,삼성,6,2
SK,삼성,9,3
두산,한화,5,0
NC,LG,1,2
롯데,넥센,1,3
두산,LG,2,3
NC,SK,2,4
롯데,한화,7,0
KIA,삼성,4,3
SK,삼성,4,5
두산,한화,6,2
NC,LG,1,8
롯데,넥센,6,2
넥센,KIA,9,10
두산,삼성,9,4
LG,SK,7,4
한화,롯데,5,6
SK,삼성,5,1
두산,한화,0,6
NC,LG,2,4
넥센,KIA,6,4
두산,삼성,7,3
LG,SK,4,1
한화,롯데,5,6
롯데,NC,1,2
한화,삼성,2,7
SK,두산,3,7
롯데,NC,4,0
LG,넥센,1,3
KIA,한화,9,5
롯데,NC,7,8
LG,SK,10,1
KIA,두산,2,9
한화,삼성,2,6
SK,두산,4,1
롯데,NC,3,2
LG,넥센,14,8
KIA,한화,12,1
롯데,NC,1,10
SK,두산,7,5
롯데,NC,5,1
LG,넥센,3,4
KIA,한화,12,4
넥센,SK,5,6
NC,두산,1,5
LG,롯데,5,3
한화,KIA,8,3
넥센,한화,3,2
두산,LG,4,6
NC,삼성,4,10
KIA,롯데,9,3
넥센,SK,9,10
NC,두산,0,4
LG,롯데,5,3
한화,KIA,2,6
이스턴,웨스턴,4,2
넥센,한화,5,3
두산,LG,5,4
NC,삼성,2,4
KIA,롯데,3,1
두산,넥센,5,8
NC,삼성,0,2
롯데,한화,5,4
KIA,LG,3,13
넥센,SK,0,2
두산,KIA,11,4
NC,LG,5,9
한화,삼성,2,8
두산,넥센,6,8
NC,삼성,3,4
롯데,한화,6,5
KIA,LG,7,4
넥센,SK,0,9
두산,KIA,3,4
NC,LG,5,7
한화,삼성,0,4
두산,넥센,11,5
NC,삼성,1,6
롯데,한화,5,1
KIA,LG,0,1
넥센,SK,4,3
두산,KIA,9,0
NC,LG,4,1
한화,삼성,3,9
넥센,삼성,7,13
SK,롯데,11,1
LG,두산,12,15
KIA,NC,4,5
삼성,넥센,0,3
SK,NC,5,3
롯데,두산,3,3
LG,한화,6,1
넥센,삼성,5,6
SK,롯데,4,7
LG,두산,9,5
KIA,NC,4,8
삼성,넥센,15,4
SK,NC,1,4
롯데,두산,2,7
LG,한화,5,1
넥센,삼성,5,2
SK,롯데,4,3
LG,두산,4,7
KIA,NC,8,4
삼성,넥센,15,4
SK,NC,3,4
롯데,두산,6,7
LG,한화,8,0
삼성,KIA,8,5
두산,롯데,2,6
NC,SK,4,2
한화,넥센,10,3
넥센,롯데,7,4
SK,삼성,8,3
NC,한화,4,6
LG,KIA,2,5
삼성,KIA,16,4
두산,롯데,9,1
NC,SK,3,0
한화,넥센,2,5
삼성,KIA,12,2
두산,롯데,8,3
NC,SK,5,4
한화,넥센,2,5
넥센,롯데,4,2
SK,삼성,5,11
NC,한화,3,4
LG,KIA,4,9
넥센,KIA,6,4
삼성,LG,2,4
두산,SK,6,4
한화,NC,0,4
SK,삼성,6,1
넥센,롯데,14,4
NC,한화,5,8
LG,KIA,13,12
삼성,LG,3,0
두산,SK,5,7
한화,NC,4,2
NC,넥센,0,1
롯데,삼성,4,3
KIA,SK,4,3
한화,두산,1,15
넥센,KIA,0,6
삼성,LG,6,9
두산,SK,5,2
넥센,두산,4,5
LG,NC,5,1
KIA,롯데,3,5
NC,넥센,2,11
롯데,삼성,8,9
KIA,SK,9,0
한화,두산,1,0
넥센,두산,7,11
SK,한화,7,1
LG,NC,14,5
KIA,롯데,1,7
SK,넥센,4,1
롯데,LG,5,4
KIA,NC,4,5
한화,삼성,3,10
삼성,LG,3,2
SK,롯데,7,8
